Timestamp(ms),Speed(km/h),Temp(C),ErrorCode
1910,85.95,44.55,0
1920,86.40,44.60,0
1930,86.85,44.65,0
1940,87.30,44.70,0
1950,87.75,44.75,0
1960,88.20,44.80,0
1970,88.65,44.85,0
1980,89.10,44.90,0
1990,89.55,44.95,0
2000,90.00,45.00,12
2010,90.45,45.05,0
2020,90.90,45.10,0
2030,91.35,45.15,0
2040,91.80,45.20,0
2050,92.25,45.25,0
2060,92.70,45.30,0
2070,93.15,45.35,0
2080,93.60,45.40,0
2090,94.05,45.45,0
2100,94.50,45.50,0
2110,94.95,45.55,0
2120,95.40,45.60,0
2130,95.85,45.65,0
2140,96.30,45.70,0
2150,96.75,45.75,0
2160,97.20,45.80,0
2170,97.65,45.85,0
2180,98.10,45.90,0
2190,98.55,45.95,0
2200,99.00,46.00,0
2210,99.45,46.05,0
2220,99.90,46.10,0
2230,100.35,46.15,0
2240,100.80,46.20,0
2250,101.25,46.25,0
2260,101.70,46.30,0
2270,102.15,46.35,0
2280,102.60,46.40,0
2290,103.05,46.45,0
2300,103.50,46.50,0
2310,103.95,46.55,0
2320,104.40,46.60,0
2330,104.85,46.65,0
2340,105.30,46.70,0
2350,105.75,46.75,0
2360,106.20,46.80,0
2370,106.65,46.85,0
2380,107.10,46.90,0
2390,107.55,46.95,0
2400,108.00,47.00,0
2410,108.45,47.05,0
2420,108.90,47.10,0
2430,109.35,47.15,0
2440,109.80,47.20,0
2450,110.25,47.25,0
2460,110.70,47.30,0
2470,111.15,47.35,0
2480,111.60,47.40,0
2490,112.05,47.45,0
2500,112.50,47.50,0
2510,112.95,47.55,0
2520,113.40,47.60,0
2530,113.85,47.65,0
2540,114.30,47.70,0
2550,114.75,47.75,0
2560,25.00,47.80,0
2570,25.45,47.85,0
2580,25.90,47.90,0
2590,26.35,47.95,0
2600,26.80,48.00,0
2610,27.25,48.05,0
2620,27.70,48.10,0
2630,28.15,48.15,0
2640,28.60,48.20,0
2650,29.05,48.25,0
2660,29.50,48.30,0
2670,29.95,48.35,0
2680,30.40,48.40,0
2690,30.85,48.45,0
2700,31.30,48.50,0
2710,31.75,48.55,0
2720,32.20,48.60,0
2730,32.65,48.65,0
2740,33.10,48.70,0
2750,33.55,48.75,0
2760,34.00,48.80,0
2770,34.45,48.85,0
2780,34.90,48.90,0
2790,35.35,48.95,0
2800,35.80,49.00,0
2810,36.25,49.05,0
2820,36.70,49.10,0
2830,37.15,49.15,0
2840,37.60,49.20,0
2850,38.05,49.25,0
2860,38.50,49.30,0
2870,38.95,49.35,0
2880,39.40,49.40,0
2890,39.85,49.45,0
2900,40.30,49.50,0
2910,40.75,49.55,0
2920,41.20,49.60,0
2930,41.65,49.65,0
2940,42.10,49.70,0
2950,42.55,49.75,0
2960,43.00,49.80,0
2970,43.45,49.85,0
2980,43.90,49.90,0
2990,44.35,49.95,0
3000,44.80,50.00,0
3010,45.25,50.05,0
3020,45.70,50.10,0
3030,46.15,50.15,0
3040,46.60,50.20,0
3050,47.05,50.25,0
3060,47.50,50.30,0
3070,47.95,50.35,0
3080,48.40,50.40,0
3090,48.85,50.45,0
3100,49.30,50.50,0
3110,49.75,50.55,0
3120,50.20,50.60,0
3130,50.65,50.65,0
3140,51.10,50.70,0
3150,51.55,50.75,0
3160,52.00,50.80,0
3170,52.45,50.85,0
3180,52.90,50.90,0
3190,53.35,50.95,0
3200,53.80,51.00,0
3210,54.25,51.05,0
3220,54.70,51.10,0
3230,55.15,51.15,0
3240,55.60,51.20,0
3250,56.05,51.25,0
3260,56.50,51.30,0
3270,56.95,51.35,0
3280,57.40,51.40,0
3290,57.85,51.45,0
3300,58.30,51.50,0
3310,58.75,51.55,0
3320,59.20,51.60,0
3330,59.65,51.65,0
3340,60.10,51.70,0
3350,60.55,51.75,0
3360,61.00,51.80,0
3370,61.45,51.85,0
3380,61.90,51.90,0
3390,62.35,51.95,0
3400,62.80,52.00,0
3410,63.25,52.05,0
3420,63.70,52.10,0
3430,64.15,52.15,0
3440,64.60,52.20,0
3450,65.05,52.25,0
3460,65.50,52.30,0
3470,65.95,52.35,0
3480,66.40,52.40,0
3490,66.85,52.45,0
3500,67.30,52.50,0
3510,67.75,52.55,0
3520,68.20,52.60,0
3530,68.65,52.65,0
3540,69.10,52.70,0
3550,69.55,52.75,0
3560,70.00,52.80,0
3570,70.45,52.85,0
3580,70.90,52.90,0
3590,71.35,52.95,0
3600,71.80,53.00,0
3610,72.25,53.05,0
3620,72.70,53.10,0
3630,73.15,53.15,0
3640,73.60,53.20,0
3650,74.05,53.25,0
3660,74.50,53.30,0
3670,74.95,53.35,0
3680,75.40,53.40,0
3690,75.85,53.45,0
3700,76.30,53.50,0
3710,76.75,53.55,0
3720,77.20,53.60,0
3730,77.65,53.65,0
3740,78.10,53.70,0
3750,78.55,53.75,0
3760,79.00,53.80,0
3770,79.45,53.85,0
3780,79.90,53.90,0
3790,80.35,53.95,0
3800,80.80,54.00,0
3810,81.25,54.05,0
3820,81.70,54.10,0
3830,82.15,54.15,0
3840,82.60,54.20,0
3850,83.05,54.25,0
3860,83.50,54.30,0
3870,83.95,54.35,0
3880,84.40,54.40,0
3890,84.85,54.45,0
3900,85.30,54.50,0
3910,85.75,54.55,0
3920,86.20,54.60,0
3930,86.65,54.65,0
3940,87.10,54.70,0
3950,87.55,54.75,0
3960,88.00,54.80,0
3970,88.45,54.85,0
3980,88.90,54.90,0
3990,89.35,54.95,0
4000,89.80,55.00,12
4010,90.25,55.05,0
4020,90.70,55.10,0
4030,91.15,55.15,0
4040,91.60,55.20,0
4050,92.05,55.25,0
4060,92.50,55.30,0
4070,92.95,55.35,0
4080,93.40,55.40,0
4090,93.85,55.45,0
4100,94.30,55.50,0
4110,94.75,55.55,0
4120,95.20,55.60,0
4130,95.65,55.65,0
4140,96.10,55.70,0
4150,96.55,55.75,0
4160,97.00,55.80,0
4170,97.45,55.85,0
4180,97.90,55.90,0
4190,98.35,55.95,0
4200,98.80,56.00,0
4210,99.25,56.05,0
4220,99.70,56.10,0
4230,100.15,56.15,0
4240,100.60,56.20,0
4250,101.05,56.25,0
4260,101.50,56.30,0
4270,101.95,56.35,0
4280,102.40,56.40,0
4290,102.85,56.45,0
4300,103.30,56.50,0
4310,103.75,56.55,0
4320,104.20,56.60,0
4330,104.65,56.65,0
4340,105.10,56.70,0
4350,105.55,56.75,0
4360,106.00,56.80,0
4370,106.45,56.85,0
4380,106.90,56.90,0
4390,107.35,56.95,0
4400,107.80,57.00,0
4410,108.25,57.05,0
4420,108.70,57.10,0
4430,109.15,57.15,0
4440,109.60,57.20,0
4450,110.05,57.25,0
4460,110.50,57.30,0
4470,110.95,57.35,0
4480,111.40,57.40,0
4490,111.85,57.45,0
4500,112.30,57.50,0
4510,112.75,57.55,0
4520,113.20,57.60,0
4530,113.65,57.65,0
4540,114.10,57.70,0
4550,114.55,57.75,0
4560,115.00,57.80,0
4570,25.00,57.85,0
4580,25.45,57.90,0
4590,25.90,57.95,0
4600,26.35,58.00,0
4610,26.80,58.05,0
4620,27.25,58.10,0
4630,27.70,58.15,0
4640,28.15,58.20,0
4650,28.60,58.25,0
4660,29.05,58.30,0
4670,29.50,58.35,0
4680,29.95,58.40,0
4690,30.40,58.45,0
4700,30.85,58.50,0
4710,31.30,58.55,0
4720,31.75,58.60,0
4730,32.20,58.65,0
4740,32.65,58.70,0
4750,33.10,58.75,0
4760,33.55,58.80,0
4770,34.00,58.85,0
4780,34.45,58.90,0
4790,34.90,58.95,0
4800,35.35,59.00,0
4810,35.80,59.05,0
4820,36.25,59.10,0
4830,36.70,59.15,0
4840,37.15,59.20,0
4850,37.60,59.25,0
4860,38.05,59.30,0
4870,38.50,59.35,0
4880,38.95,59.40,0
4890,39.40,59.45,0
4900,39.85,59.50,0
4910,40.30,59.55,0
4920,40.75,59.60,0
4930,41.20,59.65,0
4940,41.65,59.70,0
4950,42.10,59.75,0
4960,42.55,59.80,0
4970,43.00,59.85,0
4980,43.45,59.90,0
4990,43.90,59.95,0
5000,44.35,60.00,0
10,0.45,35.05,0
20,0.90,35.10,0
30,1.35,35.15,0
40,1.80,35.20,0
50,2.25,35.25,0
60,2.70,35.30,0
70,3.15,35.35,0
80,3.60,35.40,0
90,4.05,35.45,0
100,4.50,35.50,0
110,4.95,35.55,0
120,5.40,35.60,0
130,5.85,35.65,0
140,6.30,35.70,0
150,6.75,35.75,0
160,7.20,35.80,0
170,7.65,35.85,0
180,8.10,35.90,0
190,8.55,35.95,0
200,9.00,36.00,0
210,9.45,36.05,0
220,9.90,36.10,0
230,10.35,36.15,0
240,10.80,36.20,0
250,11.25,36.25,0
260,11.70,36.30,0
270,12.15,36.35,0
280,12.60,36.40,0
290,13.05,36.45,0
300,13.50,36.50,0
310,13.95,36.55,0
320,14.40,36.60,0
330,14.85,36.65,0
340,15.30,36.70,0
350,15.75,36.75,0
360,16.20,36.80,0
370,16.65,36.85,0
380,17.10,36.90,0
390,17.55,36.95,0
400,18.00,37.00,0
410,18.45,37.05,0
420,18.90,37.10,0
430,19.35,37.15,0
440,19.80,37.20,0
450,20.25,37.25,0
460,20.70,37.30,0
470,21.15,37.35,0
480,21.60,37.40,0
490,22.05,37.45,0
500,22.50,37.50,0
510,22.95,37.55,0
520,23.40,37.60,0
530,23.85,37.65,0
540,24.30,37.70,0
550,24.75,37.75,0
560,25.20,37.80,0
570,25.65,37.85,0
580,26.10,37.90,0
590,26.55,37.95,0
600,27.00,38.00,0
610,27.45,38.05,0
620,27.90,38.10,0
630,28.35,38.15,0
640,28.80,38.20,0
650,29.25,38.25,0
660,29.70,38.30,0
670,30.15,38.35,0
680,30.60,38.40,0
690,31.05,38.45,0
700,31.50,38.50,0
710,31.95,38.55,0
720,32.40,38.60,0
730,32.85,38.65,0
740,33.30,38.70,0
750,33.75,38.75,0
760,34.20,38.80,0
770,34.65,38.85,0
780,35.10,38.90,0
790,35.55,38.95,0
800,36.00,39.00,0
810,36.45,39.05,0
820,36.90,39.10,0
830,37.35,39.15,0
840,37.80,39.20,0
850,38.25,39.25,0
860,38.70,39.30,0
870,39.15,39.35,0
880,39.60,39.40,0
890,40.05,39.45,0
900,40.50,39.50,0
910,40.95,39.55,0
920,41.40,39.60,0
930,41.85,39.65,0
940,42.30,39.70,0
950,42.75,39.75,0
960,43.20,39.80,0
970,43.65,39.85,0
980,44.10,39.90,0
990,44.55,39.95,0
1000,45.00,40.00,0
1010,45.45,40.05,0
1020,45.90,40.10,0
1030,46.35,40.15,0
1040,46.80,40.20,0
1050,47.25,40.25,0
1060,47.70,40.30,0
1070,48.15,40.35,0
1080,48.60,40.40,0
1090,49.05,40.45,0
1100,49.50,40.50,0
1110,49.95,40.55,0
1120,50.40,40.60,0
1130,50.85,40.65,0
1140,51.30,40.70,0
1150,51.75,40.75,0
1160,52.20,40.80,0
1170,52.65,40.85,0
1180,53.10,40.90,0
1190,53.55,40.95,0
1200,54.00,41.00,0
1210,54.45,41.05,0
1220,54.90,41.10,0
1230,55.35,41.15,0
1240,55.80,41.20,0
1250,56.25,41.25,0
1260,56.70,41.30,0
1270,57.15,41.35,0
1280,57.60,41.40,0
1290,58.05,41.45,0
1300,58.50,41.50,0
1310,58.95,41.55,0
1320,59.40,41.60,0
1330,59.85,41.65,0
1340,60.30,41.70,0
1350,60.75,41.75,0
1360,61.20,41.80,0
1370,61.65,41.85,0
1380,62.10,41.90,0
1390,62.55,41.95,0
1400,63.00,42.00,0
1410,63.45,42.05,0
1420,63.90,42.10,0
1430,64.35,42.15,0
1440,64.80,42.20,0
1450,65.25,42.25,0
1460,65.70,42.30,0
1470,66.15,42.35,0
1480,66.60,42.40,0
1490,67.05,42.45,0
1500,67.50,42.50,0
1510,67.95,42.55,0
1520,68.40,42.60,0
1530,68.85,42.65,0
1540,69.30,42.70,0
1550,69.75,42.75,0
1560,70.20,42.80,0
1570,70.65,42.85,0
1580,71.10,42.90,0
1590,71.55,42.95,0
1600,72.00,43.00,0
1610,72.45,43.05,0
1620,72.90,43.10,0
1630,73.35,43.15,0
1640,73.80,43.20,0
1650,74.25,43.25,0
1660,74.70,43.30,0
1670,75.15,43.35,0
1680,75.60,43.40,0
1690,76.05,43.45,0
1700,76.50,43.50,0
1710,76.95,43.55,0
1720,77.40,43.60,0
1730,77.85,43.65,0
1740,78.30,43.70,0
1750,78.75,43.75,0
1760,79.20,43.80,0
1770,79.65,43.85,0
1780,80.10,43.90,0
1790,80.55,43.95,0
1800,81.00,44.00,0
1810,81.45,44.05,0
1820,81.90,44.10,0
1830,82.35,44.15,0
1840,82.80,44.20,0
1850,83.25,44.25,0
1860,83.70,44.30,0
1870,84.15,44.35,0
1880,84.60,44.40,0
1890,85.05,44.45,0
1900,85.50,44.50,0
1910,85.95,44.55,0
1920,86.40,44.60,0
1930,86.85,44.65,0
1940,87.30,44.70,0
1950,87.75,44.75,0
1960,88.20,44.80,0
1970,88.65,44.85,0
1980,89.10,44.90,0
1990,89.55,44.95,0
2000,90.00,45.00,12
2010,90.45,45.05,0
2020,90.90,45.10,0
2030,91.35,45.15,0
2040,91.80,45.20,0
2050,92.25,45.25,0
2060,92.70,45.30,0
2070,93.15,45.35,0
2080,93.60,45.40,0
2090,94.05,45.45,0
2100,94.50,45.50,0
2110,94.95,45.55,0
2120,95.40,45.60,0
2130,95.85,45.65,0
2140,96.30,45.70,0
2150,96.75,45.75,0
2160,97.20,45.80,0
2170,97.65,45.85,0
2180,98.10,45.90,0
2190,98.55,45.95,0
2200,99.00,46.00,0
2210,99.45,46.05,0
2220,99.90,46.10,0
2230,100.35,46.15,0
2240,100.80,46.20,0
2250,101.25,46.25,0
2260,101.70,46.30,0
2270,102.15,46.35,0
2280,102.60,46.40,0
2290,103.05,46.45,0
2300,103.50,46.50,0
2310,103.95,46.55,0
2320,104.40,46.60,0
2330,104.85,46.65,0
2340,105.30,46.70,0
2350,105.75,46.75,0
2360,106.20,46.80,0
2370,106.65,46.85,0
2380,107.10,46.90,0
2390,107.55,46.95,0
2400,108.00,47.00,0
2410,108.45,47.05,0
2420,108.90,47.10,0
2430,109.35,47.15,0
2440,109.80,47.20,0
2450,110.25,47.25,0
2460,110.70,47.30,0
2470,111.15,47.35,0
2480,111.60,47.40,0
2490,112.05,47.45,0
2500,112.50,47.50,0
2510,112.95,47.55,0
2520,113.40,47.60,0
2530,113.85,47.65,0
2540,114.30,47.70,0
2550,114.75,47.75,0
2560,25.00,47.80,0
2570,25.45,47.85,0
2580,25.90,47.90,0
2590,26.35,47.95,0
2600,26.80,48.00,0
2610,27.25,48.05,0
2620,27.70,48.10,0
2630,28.15,48.15,0
2640,28.60,48.20,0
2650,29.05,48.25,0
2660,29.50,48.30,0
2670,29.95,48.35,0
2680,30.40,48.40,0
2690,30.85,48.45,0
2700,31.30,48.50,0
2710,31.75,48.55,0
2720,32.20,48.60,0
2730,32.65,48.65,0
2740,33.10,48.70,0
2750,33.55,48.75,0
2760,34.00,48.80,0
2770,34.45,48.85,0
2780,34.90,48.90,0
2790,35.35,48.95,0
2800,35.80,49.00,0
2810,36.25,49.05,0
2820,36.70,49.10,0
2830,37.15,49.15,0
2840,37.60,49.20,0
2850,38.05,49.25,0
2860,38.50,49.30,0
2870,38.95,49.35,0
2880,39.40,49.40,0
2890,39.85,49.45,0
2900,40.30,49.50,0
2910,40.75,49.55,0
2920,41.20,49.60,0
2930,41.65,49.65,0
2940,42.10,49.70,0
2950,42.55,49.75,0
2960,43.00,49.80,0
2970,43.45,49.85,0
2980,43.90,49.90,0
2990,44.35,49.95,0
3000,44.80,50.00,0
3010,45.25,50.05,0
3020,45.70,50.10,0
3030,46.15,50.15,0
3040,46.60,50.20,0
3050,47.05,50.25,0
3060,47.50,50.30,0
3070,47.95,50.35,0
3080,48.40,50.40,0
3090,48.85,50.45,0
3100,49.30,50.50,0
3110,49.75,50.55,0
3120,50.20,50.60,0
3130,50.65,50.65,0
3140,51.10,50.70,0
3150,51.55,50.75,0
3160,52.00,50.80,0
3170,52.45,50.85,0
3180,52.90,50.90,0
3190,53.35,50.95,0
3200,53.80,51.00,0
3210,54.25,51.05,0
3220,54.70,51.10,0
3230,55.15,51.15,0
3240,55.60,51.20,0
3250,56.05,51.25,0
3260,56.50,51.30,0
3270,56.95,51.35,0
3280,57.40,51.40,0
3290,57.85,51.45,0
3300,58.30,51.50,0
3310,58.75,51.55,0
3320,59.20,51.60,0
3330,59.65,51.65,0
3340,60.10,51.70,0
3350,60.55,51.75,0
3360,61.00,51.80,0
3370,61.45,51.85,0
3380,61.90,51.90,0
3390,62.35,51.95,0
3400,62.80,52.00,0
3410,63.25,52.05,0
3420,63.70,52.10,0
3430,64.15,52.15,0
3440,64.60,52.20,0
3450,65.05,52.25,0
3460,65.50,52.30,0
3470,65.95,52.35,0
3480,66.40,52.40,0
3490,66.85,52.45,0
3500,67.30,52.50,0
3510,67.75,52.55,0
3520,68.20,52.60,0
3530,68.65,52.65,0
3540,69.10,52.70,0
3550,69.55,52.75,0
3560,70.00,52.80,0
3570,70.45,52.85,0
3580,70.90,52.90,0
3590,71.35,52.95,0
3600,71.80,53.00,0
3610,72.25,53.05,0
3620,72.70,53.10,0
3630,73.15,53.15,0
3640,73.60,53.20,0
3650,74.05,53.25,0
3660,74.50,53.30,0
3670,74.95,53.35,0
3680,75.40,53.40,0
3690,75.85,53.45,0
3700,76.30,53.50,0
3710,76.75,53.55,0
3720,77.20,53.60,0
3730,77.65,53.65,0
3740,78.10,53.70,0
3750,78.55,53.75,0
3760,79.00,53.80,0
3770,79.45,53.85,0
3780,79.90,53.90,0
3790,80.35,53.95,0
3800,80.80,54.00,0
3810,81.25,54.05,0
3820,81.70,54.10,0
3830,82.15,54.15,0
3840,82.60,54.20,0
3850,83.05,54.25,0
3860,83.50,54.30,0
3870,83.95,54.35,0
3880,84.40,54.40,0
3890,84.85,54.45,0
3900,85.30,54.50,0
3910,85.75,54.55,0
3920,86.20,54.60,0
3930,86.65,54.65,0
3940,87.10,54.70,0
3950,87.55,54.75,0
3960,88.00,54.80,0
3970,88.45,54.85,0
3980,88.90,54.90,0
3990,89.35,54.95,0
4000,89.80,55.00,12
4010,90.25,55.05,0
4020,90.70,55.10,0
4030,91.15,55.15,0
4040,91.60,55.20,0
4050,92.05,55.25,0
4060,92.50,55.30,0
4070,92.95,55.35,0
4080,93.40,55.40,0
4090,93.85,55.45,0
4100,94.30,55.50,0
4110,94.75,55.55,0
4120,95.20,55.60,0
4130,95.65,55.65,0
4140,96.10,55.70,0
4150,96.55,55.75,0
4160,97.00,55.80,0
4170,97.45,55.85,0
4180,97.90,55.90,0
4190,98.35,55.95,0
4200,98.80,56.00,0
4210,99.25,56.05,0
4220,99.70,56.10,0
4230,100.15,56.15,0
4240,100.60,56.20,0
4250,101.05,56.25,0
4260,101.50,56.30,0
4270,101.95,56.35,0
4280,102.40,56.40,0
4290,102.85,56.45,0
4300,103.30,56.50,0
4310,103.75,56.55,0
4320,104.20,56.60,0
4330,104.65,56.65,0
4340,105.10,56.70,0
4350,105.55,56.75,0
4360,106.00,56.80,0
4370,106.45,56.85,0
4380,106.90,56.90,0
4390,107.35,56.95,0
4400,107.80,57.00,0
4410,108.25,57.05,0
4420,108.70,57.10,0
4430,109.15,57.15,0
4440,109.60,57.20,0
4450,110.05,57.25,0
4460,110.50,57.30,0
4470,110.95,57.35,0
4480,111.40,57.40,0
4490,111.85,57.45,0
4500,112.30,57.50,0
4510,112.75,57.55,0
4520,113.20,57.60,0
4530,113.65,57.65,0
4540,114.10,57.70,0
4550,114.55,57.75,0
4560,115.00,57.80,0
4570,25.00,57.85,0
4580,25.45,57.90,0
4590,25.90,57.95,0
4600,26.35,58.00,0
4610,26.80,58.05,0
4620,27.25,58.10,0
4630,27.70,58.15,0
4640,28.15,58.20,0
4650,28.60,58.25,0
4660,29.05,58.30,0
4670,29.50,58.35,0
4680,29.95,58.40,0
4690,30.40,58.45,0
4700,30.85,58.50,0
4710,31.30,58.55,0
4720,31.75,58.60,0
4730,32.20,58.65,0
4740,32.65,58.70,0
4750,33.10,58.75,0
4760,33.55,58.80,0
4770,34.00,58.85,0
4780,34.45,58.90,0
4790,34.90,58.95,0
4800,35.35,59.00,0
4810,35.80,59.05,0
4820,36.25,59.10,0
4830,36.70,59.15,0
4840,37.15,59.20,0
4850,37.60,59.25,0
4860,38.05,59.30,0
4870,38.50,59.35,0
4880,38.95,59.40,0
4890,39.40,59.45,0
4900,39.85,59.50,0
4910,40.30,59.55,0
4920,40.75,59.60,0
4930,41.20,59.65,0
4940,41.65,59.70,0
4950,42.10,59.75,0
4960,42.55,59.80,0
4970,43.00,59.85,0
4980,43.45,59.90,0
4990,43.90,59.95,0
5000,44.35,60.00,0
